City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hermanus,-34.4187,19.2345,51.01,92,62,1.01,ZA,1619754065
Dalsingh Sarai,25.6667,85.8333,100.99,21,2,6.62,IN,1619754066
Avarua,-21.2078,-159.775,82.4,78,40,9.22,CK,1619754066
Murdochville,48.9583,-65.5006,39.2,81,47,12.66,CA,1619754066
Adrar,20.5022,-10.0711,75.54,37,10,10.71,MR,1619754067
Hobart,-42.8794,147.3294,66.99,55,20,6.91,AU,1619753871
Lorca,37.6712,-1.7017,59.0,90,43,2.73,ES,1619753825
Phibun Mangsahan,15.2447,105.2291,90.0,74,40,2.3,TH,1619754067
Naze,28.3667,129.4833,77.0,53,20,14.97,JP,1619754068
Cascais,38.6979,-9.4215,54.0,73,99,8.99,PT,1619754068
Batemans Bay,-35.7167,150.1833,72.0,59,0,8.68,AU,1619754068
Bethel,41.3712,-73.414,66.0,91,100,1.01,US,1619754069
Saint Paul Harbor,57.79,-152.4072,46.4,76,75,2.77,US,1619754069
Cabo San Lucas,22.8909,-109.9124,72.0,49,0,1.01,MX,1619753929
Port Alfred,-33.5906,26.891,62.35,68,97,13.35,ZA,1619754070
Ilulissat,69.2167,-51.1,33.8,75,100,4.41,GL,1619754070
Tezu,27.9167,96.1667,98.49,18,74,5.17,IN,1619754070
Manbij,36.5281,37.9549,60.8,63,0,8.34,SY,1619754071
Independenţa,45.4833,27.75,49.8,93,94,7.56,RO,1619754071
Seydi,39.4816,62.9137,71.2,59,100,14.63,TM,1619754071
Bredasdorp,-34.5322,20.0403,51.01,92,4,1.01,ZA,1619754072
Scarborough,54.2797,-0.4044,35.01,85,10,1.99,GB,1619753781
Stornoway,58.2093,-6.3865,39.0,87,60,4.61,GB,1619754072
Balakhninskiy,58.0106,114.2769,37.9,64,95,3.33,RU,1619754072
Tiksi,71.6872,128.8694,32.59,83,84,4.54,RU,1619754073
Souillac,-20.5167,57.5167,77.0,83,75,14.97,MU,1619754073
Fortuna,40.5982,-124.1573,51.01,93,1,6.91,US,1619754074
Bukoba,-1.3317,31.8122,66.43,86,100,6.08,TZ,1619754074
Peniche,39.3558,-9.3811,55.0,82,96,11.81,PT,1619754074
Esperance,-33.8667,121.9,57.2,88,75,21.85,AU,1619754075
Kati,12.7441,-8.0726,80.6,78,20,5.75,ML,1619754075
Puerto Ayora,-0.7393,-90.3518,75.4,85,40,8.03,EC,1619754075
Kitui,-1.367,38.0106,63.97,95,95,3.22,KE,1619754076
Khovd,48.0056,91.6419,70.93,20,77,6.4,MN,1619754076
Khatanga,71.9667,102.5,32.7,100,100,5.12,RU,1619754076
Thompson,55.7435,-97.8558,26.6,59,40,6.89,CA,1619754077
Alekseyevka,50.6309,38.6903,46.89,67,77,8.48,RU,1619754077
Kangaatsiaq,68.3065,-53.4641,32.58,89,100,1.36,GL,1619754077
Vaini,-21.2,-175.2,75.2,100,90,12.66,TO,1619754078
Arica,-18.475,-70.3042,62.6,72,0,5.75,CL,1619754078
Ierapetra,35.01,25.7353,78.8,29,0,18.41,GR,1619754078
Bathsheba,13.2167,-59.5167,77.0,65,20,9.22,BB,1619754079
Manama,26.2154,50.5832,84.2,37,0,9.22,BH,1619754061
Klichka,50.4457,117.996,41.29,41,19,7.54,RU,1619754079
Tuktoyaktuk,69.4541,-133.0374,26.6,74,1,13.8,CA,1619754080
Gweta,-20.1833,25.2333,66.34,71,23,7.81,BW,1619754080
New Norfolk,-42.7826,147.0587,66.99,48,24,3.0,AU,1619754080
Topolobampo,25.6,-109.05,73.99,49,1,5.75,MX,1619754081
Letlhakane,-21.4167,25.5833,63.61,71,20,6.33,BW,1619754081
Mulegé,26.8833,-111.9833,73.51,40,0,11.18,MX,1619754081
Tasiilaq,65.6145,-37.6368,28.4,93,99,2.3,GL,1619754082
Northam,51.0333,-4.2167,41.0,1,89,4.07,GB,1619754082
Behbahān,30.5959,50.2417,64.4,36,0,3.58,IR,1619754082
Severnyy,50.677,36.5532,46.4,53,0,13.42,RU,1619754083
Plettenberg Bay,-34.0527,23.3716,58.66,83,98,5.32,ZA,1619754083
Saint-Pierre-des-Corps,47.3833,0.7333,46.4,76,0,5.75,FR,1619754083
Surgut,61.25,73.4167,35.6,100,75,13.42,RU,1619754084
Anamur,36.0751,32.8369,62.6,88,0,4.61,TR,1619754084
Ponta do Sol,32.6667,-17.1,55.99,76,47,3.0,PT,1619754084
Vila Velha,-20.3297,-40.2925,73.4,73,75,9.22,BR,1619753872
Yerbogachën,61.2767,108.0108,39.65,58,77,6.73,RU,1619754085
Veydelevka,50.1521,38.4492,46.54,67,61,8.77,RU,1619754085
Acapulco de Juárez,16.8634,-99.8901,78.46,80,62,5.41,MX,1619754086
Pendleton,45.6721,-118.7886,75.2,25,1,4.38,US,1619754086
Atar,20.5169,-13.0499,76.46,39,91,5.68,MR,1619754086
Sitka,57.0531,-135.33,44.6,87,90,9.22,US,1619754087
Neuquén,-38.9516,-68.0591,53.6,100,0,1.07,AR,1619753810
Talnakh,69.4865,88.3972,31.37,89,56,2.37,RU,1619754088
Ko Samui,9.5357,99.9357,87.8,74,75,9.22,TH,1619754088
Berdigestyakh,62.0989,126.6992,37.24,81,97,4.43,RU,1619754088
Cherskiy,68.75,161.3,20.59,84,64,10.85,RU,1619754089
Yārāda,17.65,83.2667,86.52,65,0,9.95,IN,1619754089
Leningradskiy,69.3833,178.4167,24.1,84,92,17.13,RU,1619754089
Barrow,71.2906,-156.7887,19.4,86,90,6.91,US,1619754004
Farmington,36.7281,-108.2187,64.4,15,1,4.61,US,1619754090
Parrita,9.5201,-84.3225,69.8,83,0,4.61,CR,1619754090
Varhaug,58.6147,5.6457,39.0,70,0,2.3,NO,1619754091
Plérin,48.5425,-2.7798,37.99,82,57,1.01,FR,1619754091
Kerema,-7.9631,145.7785,81.73,74,88,6.42,PG,1619754091
Porosozero,62.7191,32.727,33.44,62,89,6.58,RU,1619754092
Wattegama,6.7989,81.4808,87.17,61,89,2.71,LK,1619754092
Lavrentiya,65.5833,-171.0,26.53,74,32,4.07,RU,1619754092
East London,-33.0153,27.9116,63.64,72,100,12.39,ZA,1619754093
Kununurra,-15.7667,128.7333,93.2,29,0,10.36,AU,1619754093
Port-Gentil,-0.7193,8.7815,78.84,81,100,5.93,GA,1619754024
Chapais,49.7834,-74.8492,46.4,57,90,5.75,CA,1619754093
Bambous Virieux,-20.3428,57.7575,77.0,83,75,14.97,MU,1619754094
Maceió,-9.6658,-35.7353,77.0,88,40,3.44,BR,1619754094
Ostrovnoy,68.0531,39.5131,27.34,88,100,17.52,RU,1619754094
Chui,-33.6971,-53.4616,55.2,84,0,4.59,UY,1619754095
São Filipe,14.8961,-24.4956,72.5,76,64,7.74,CV,1619754095
Aklavik,68.2191,-135.0107,42.8,39,27,4.61,CA,1619753805
Torbay,47.6666,-52.7314,37.0,93,1,9.22,CA,1619754096
George Town,5.4112,100.3354,87.8,74,20,2.3,MY,1619754016
Bilma,18.6853,12.9164,81.41,8,0,7.47,NE,1619754096
Brainerd,46.358,-94.2008,55.4,26,1,20.71,US,1619754096
Barra de Tecoanapa,16.5167,-98.75,79.68,75,94,4.83,MX,1619754097
Koslan,63.4564,48.8989,35.11,61,100,8.34,RU,1619754097
Tam Ky,15.5667,108.4833,87.8,55,20,6.91,VN,1619754097
Bubaque,11.2833,-15.8333,77.63,68,55,14.7,GW,1619754098
Río Gallegos,-51.6226,-69.2181,46.4,87,0,12.66,AR,1619754098
Padang,-0.9492,100.3543,80.11,81,94,1.9,ID,1619754098
Constitución,-35.3333,-72.4167,54.18,91,59,1.16,CL,1619754099
Maţāy,28.419,30.7792,75.38,22,0,8.55,EG,1619754099
Vila Franca do Campo,37.7167,-25.4333,55.4,76,75,8.05,PT,1619754099
Harindānga,22.0383,88.3214,87.8,66,20,8.05,IN,1619754100
Saint-Philippe,-21.3585,55.7679,75.2,83,75,10.36,RE,1619754100
Kāndla,23.0333,70.2167,88.23,44,17,7.83,IN,1619754100
Olinda,-8.0089,-34.8553,75.2,83,0,8.05,BR,1619754101
Nikolskoye,59.7035,30.7861,34.0,69,0,4.47,RU,1619754101
Nara,34.6851,135.8049,75.0,52,20,13.8,JP,1619754014
Ugoofaaru,5.6667,73.0,83.84,71,56,5.59,MV,1619754102
Richards Bay,-28.783,32.0377,68.7,87,100,15.43,ZA,1619754102
Nouadhibou,20.931,-17.0347,66.2,88,0,12.66,MR,1619754102
Dingle,10.9995,122.6711,91.47,39,33,6.71,PH,1619754103
Guerrero Negro,27.9769,-114.0611,63.41,73,0,16.46,MX,1619754103
Ebeltoft,56.1944,10.6821,44.01,93,90,4.61,DK,1619754103
Islamey,43.6756,43.455,48.2,93,73,3.38,RU,1619754104
Hīt,33.6416,42.8251,81.45,23,0,11.45,IQ,1619754104
Rio Grande,-32.035,-52.0986,60.49,81,1,5.75,BR,1619754104
Bajil,15.0584,43.2851,82.96,68,67,3.33,YE,1619754105
Morondava,-20.2833,44.2833,77.5,72,43,6.89,MG,1619754105
Saint-Pierre,-21.3393,55.4781,75.2,83,75,10.36,RE,1619754105
Krasnosel'kup,65.7,82.4667,33.6,99,100,16.89,RU,1619754106
Jasper,37.2001,-94.3502,60.8,63,1,5.06,US,1619754106
Churapcha,62.0025,132.4325,36.45,97,100,6.13,RU,1619754106
Necochea,-38.5473,-58.7368,57.0,84,39,8.99,AR,1619754064
Zabaykal'sk,49.6333,117.3167,40.64,41,100,3.2,RU,1619754107
Solnechnyy,50.7214,136.6319,38.17,69,91,9.66,RU,1619754107
Faya,18.3851,42.4509,59.0,77,40,3.44,SA,1619754107
Ardakān,32.31,54.0175,68.0,24,75,4.61,IR,1619754108
Kassala,15.451,36.4,82.24,56,87,4.16,SD,1619754108
Pangnirtung,66.1451,-65.7125,30.45,75,100,5.7,CA,1619754109
Vestmannaeyjar,63.4427,-20.2734,43.14,76,96,6.71,IS,1619754109
Kahului,20.8947,-156.47,80.6,69,40,16.11,US,1619754053
Isangel,-19.55,169.2667,80.6,69,75,9.22,VU,1619754109
Lüderitz,-26.6481,15.1594,54.82,77,0,19.66,NA,1619754110
Gladstone,-23.85,151.25,75.2,60,90,12.66,AU,1619754110
Camabatela,-8.1881,15.375,63.03,97,97,1.03,AO,1619754111
Imeni Poliny Osipenko,52.4201,136.4853,33.51,96,100,12.97,RU,1619754111
Ashland,40.8167,-82.2665,51.8,87,90,8.05,US,1619753966
Carutapera,-1.195,-46.02,74.66,93,97,3.67,BR,1619754111
Klaksvík,62.2266,-6.589,35.6,75,90,3.44,FO,1619754112
Pandamatenga,-18.5278,25.627,62.4,74,28,3.4,BW,1619754112
Clyde River,70.4692,-68.5914,23.0,100,90,3.47,CA,1619754097
Nālūt,30.3333,10.85,79.83,22,38,7.74,LY,1619754113
Puerto Colombia,10.9878,-74.9547,78.8,83,20,9.22,CO,1619754113
Ishim,56.1128,69.4902,50.27,50,7,11.32,RU,1619754113
Maniitsoq,65.4167,-52.9,34.95,76,52,5.06,GL,1619754114
Zhigansk,66.7697,123.3711,33.03,99,100,6.46,RU,1619754114
Beruwala,6.4788,79.9828,84.85,71,51,3.49,LK,1619754114
Spornoye,50.8448,37.2913,46.4,53,0,13.42,RU,1619754115
Ola,59.5833,151.2833,38.12,62,36,3.24,RU,1619754115
Yeppoon,-23.1333,150.7333,80.6,47,75,11.5,AU,1619754115
Kjøllefjord,70.9457,27.3465,28.4,59,75,21.85,NO,1619754116
São José da Coroa Grande,-8.8978,-35.1478,76.96,84,84,8.68,BR,1619754116
Kawalu,-7.3817,108.2082,86.72,56,87,3.56,ID,1619754116
Kutum,14.2,24.6667,70.84,22,18,7.05,SD,1619754117
Grindavik,63.8424,-22.4338,39.2,87,90,4.61,IS,1619754117
Dunedin,-45.8742,170.5036,55.0,73,83,18.99,NZ,1619754117
Ulaanbaatar,47.9077,106.8832,39.2,48,75,17.9,MN,1619754118
Comodoro Rivadavia,-45.8667,-67.5,64.4,45,0,9.22,AR,1619754019
Bacolod City,10.6667,122.95,85.96,60,31,9.13,PH,1619754118
Korla,41.7597,86.1469,79.95,11,0,3.18,CN,1619754118
Tovarkovskiy,53.6822,38.2092,44.47,72,100,12.33,RU,1619754119
Ribeira Grande,38.5167,-28.7,57.49,65,100,7.23,PT,1619754096
Bengkulu,-3.8004,102.2655,82.85,71,98,3.96,ID,1619754119
Asilah,35.465,-6.0348,53.6,4,0,4.61,MA,1619754025
Pāsighāt,28.0667,95.3333,95.47,22,24,4.61,IN,1619754120
Saint George,37.1041,-113.5841,78.01,16,1,6.91,US,1619754029
Nikki,9.9401,3.2108,76.59,70,84,7.96,BJ,1619754120
Makokou,0.5738,12.8642,70.74,99,100,1.68,GA,1619754121
Saldanha,-33.0117,17.9442,53.6,82,0,8.05,ZA,1619754121
Puerto Maldonado,-12.6,-69.1833,62.28,86,0,1.23,PE,1619754121
Bambari,5.768,20.6757,73.15,87,100,2.93,CF,1619754122
Sjenica,43.2731,19.9994,46.6,85,94,4.56,RS,1619754122
Aswān,24.0934,32.907,82.54,13,1,9.4,EG,1619754122
Camacha,33.0833,-16.3333,59.0,77,75,26.46,PT,1619754123
Kiunga,-6.1219,141.2906,85.77,66,98,2.21,PG,1619754123
Ambilobe,-13.2,49.05,74.71,87,12,2.75,MG,1619754123
Mackay,-21.15,149.2,73.4,78,40,14.97,AU,1619754124
Kiryat Gat,31.61,34.7642,72.0,77,40,2.3,IL,1619754124
Long Beach,33.767,-118.1892,72.0,35,1,8.05,US,1619754055
Bud,39.447,-86.1758,52.0,95,4,7.74,US,1619754125
Qaanaaq,77.484,-69.3632,25.0,60,100,10.6,GL,1619754125
Nanortalik,60.1432,-45.2371,36.54,84,11,8.03,GL,1619754125
Buraidah,26.326,43.975,66.2,39,0,4.61,SA,1619753931
Pevek,69.7008,170.3133,22.12,84,100,10.07,RU,1619754126
Galle,6.0367,80.217,84.22,72,55,5.5,LK,1619754126
Abnūb,27.2696,31.1511,69.8,40,0,6.91,EG,1619754126
Namie,37.4833,141.0,68.0,43,8,5.01,JP,1619754127
Philadelphia,39.9523,-75.1638,69.01,94,90,5.75,US,1619753871
Storslett,69.7678,21.0247,25.97,85,100,13.35,NO,1619754127
San Cristobal,7.7669,-72.225,77.0,88,75,10.36,VE,1619754128
Bonfim,3.0833,-59.95,77.61,78,51,2.21,BR,1619754128
Waingapu,-9.6567,120.2641,86.02,68,44,11.18,ID,1619754128
Chokurdakh,70.6333,147.9167,19.76,85,11,5.61,RU,1619754129
Tortolì,39.9256,9.6572,59.0,88,0,3.44,IT,1619754129
Rawson,-43.3002,-65.1023,64.11,49,98,5.48,AR,1619753864
Ipswich,52.0592,1.1555,36.0,93,3,5.75,GB,1619754112
Garoowe,8.4054,48.4845,77.7,76,95,5.88,SO,1619753882
Madaoua,14.073,5.96,78.96,11,31,4.85,NE,1619754130
Cap Malheureux,-19.9842,57.6142,77.0,86,16,5.99,MU,1619754130
Villa María,-32.4075,-63.2402,54.0,86,0,1.99,AR,1619754122
Washington,47.5001,-120.5015,73.4,27,1,5.88,US,1619753986
Taltal,-25.4,-70.4833,61.93,85,0,1.72,CL,1619754131
Tobane,-21.95,27.9,59.0,82,0,4.92,BW,1619754131
Inhambane,-23.865,35.3833,71.17,79,0,4.81,MZ,1619754131
Buin,-33.7333,-70.75,57.99,87,78,10.36,CL,1619754132
Lorengau,-2.0226,147.2712,84.67,69,100,2.06,PG,1619754132
Pisco,-13.7,-76.2167,64.99,88,0,4.61,PE,1619754132
Lake City,30.1897,-82.6393,69.8,78,1,3.44,US,1619754133
Codrington,-38.2667,141.9667,74.7,35,0,10.07,AU,1619754133
Qaqortoq,60.7167,-46.0333,35.6,87,75,5.73,GL,1619754133
Asmara,15.3333,38.9333,57.4,82,91,2.93,ER,1619754134
Accra,5.556,-0.1969,80.6,89,20,4.61,GH,1619753947
San Francisco Ixhuatan,16.3569,-94.4825,81.41,75,4,5.12,MX,1619754134
Beringovskiy,63.05,179.3167,29.46,78,47,7.0,RU,1619754135
Bajos de Haina,18.4154,-70.0332,75.99,100,40,6.91,DO,1619754135
Jizan,17.3333,42.6667,84.2,79,40,4.61,SA,1619754135
Verkhnevilyuysk,63.4453,120.3167,38.41,67,100,6.71,RU,1619754136
Tornio,65.8481,24.1466,32.0,69,0,6.91,FI,1619754136
Inuvik,68.3499,-133.7218,42.8,39,93,4.61,CA,1619754136
Linhares,-19.3911,-40.0722,68.43,87,75,6.62,BR,1619754137
Praia da Vitória,38.7333,-27.0667,57.2,82,20,5.39,PT,1619754137
Vallenar,-28.5708,-70.7581,57.2,78,1,0.65,CL,1619754137
Altar,30.7,-111.8167,78.01,20,0,8.99,MX,1619754138
Sühbaatar,50.2314,106.2078,45.32,45,92,2.53,MN,1619754138
Karpathos,35.507,27.2132,60.8,94,6,1.14,GR,1619754087
Yangjiang,21.85,111.9667,81.0,55,92,5.41,CN,1619754139
Zlobin,45.2924,14.6541,57.99,94,75,8.05,HR,1619754139
Tazovsky,67.4667,78.7,30.33,92,99,9.55,RU,1619754139
Angoche,-16.2325,39.9086,75.06,89,10,3.62,MZ,1619754140
Revelstoke,50.9832,-118.2023,50.0,87,90,4.61,CA,1619754130
Los Zacatones,22.95,-102.05,66.7,40,80,14.97,MX,1619754140
Kamina,-8.7386,24.9906,63.48,95,98,2.01,CD,1619754140
Coquimbo,-29.9533,-71.3436,55.4,88,75,3.94,CL,1619754086
Sosnovo-Ozerskoye,52.5249,111.5418,37.74,55,100,9.28,RU,1619754141
Halifax,44.6453,-63.5724,48.99,93,100,3.44,CA,1619754061
Assiut,27.181,31.1837,69.8,40,0,6.91,EG,1619754141
Canyon,34.9803,-101.9188,59.0,45,36,9.4,US,1619754142
Chifeng,42.2683,118.9636,53.65,10,100,5.73,CN,1619754142
Alekseyevsk,57.8406,108.3492,44.29,52,33,1.7,RU,1619754142
Los Alamos,35.8881,-106.307,59.0,20,1,3.44,US,1619754143
Akdepe,42.0551,59.3788,59.0,77,0,20.71,TM,1619754143
Vila,42.0304,-8.1588,42.01,90,12,1.99,PT,1619754143
Yong’an,39.6957,113.6871,50.79,46,89,22.53,CN,1619754144
Genhe,50.7833,121.5167,37.15,89,100,3.51,CN,1619754144
Huambo,-12.7761,15.7392,59.18,93,100,1.14,AO,1619754144
Suntar,62.1444,117.6319,40.5,59,95,5.84,RU,1619754145
Muros,42.7762,-9.0603,43.0,94,9,8.66,ES,1619754146
Bridgetown,13.1,-59.6167,77.0,65,20,9.22,BB,1619754109
Fairview,40.8126,-73.999,71.6,78,75,11.5,US,1619754146
Narsaq,60.9167,-46.05,35.6,87,75,4.5,GL,1619754146
Kristiansund,63.1115,7.732,35.6,69,90,4.52,NO,1619754147
Dryden,49.7833,-92.7503,35.6,64,90,10.36,CA,1619754147
La Colorada,8.0167,-80.9833,73.72,95,100,1.86,PA,1619754147
Laguna,38.421,-121.4238,78.8,31,1,8.05,US,1619754148
Vao,-22.6667,167.4833,74.93,57,97,19.95,NC,1619754148
Karpogory,64.0019,44.4451,35.24,63,89,8.08,RU,1619754145
Saint-Augustin,51.226,-58.6502,39.67,86,100,4.41,CA,1619754149
San Quintín,30.4833,-115.95,62.58,79,0,5.57,MX,1619754149
Hasaki,35.7333,140.8333,79.0,53,20,11.5,JP,1619754149
Skerries,53.5828,-6.1083,41.0,93,20,5.75,IE,1619754150
Padilla,3.2204,-76.3139,66.2,100,90,3.44,CO,1619754150
Binga,-17.6203,27.3414,68.16,72,7,0.81,ZW,1619754150
Hambantota,6.1241,81.1185,84.38,70,76,6.13,LK,1619754151
Husavik,66.0449,-17.3389,35.6,80,90,11.5,IS,1619754151
Bilibino,68.0546,166.4372,24.8,79,100,13.58,RU,1619754151
Salalah,17.0151,54.0924,84.2,79,75,5.75,OM,1619754152
Viedma,-40.8135,-62.9967,65.66,61,96,18.59,AR,1619754152
Biloela,-24.4167,150.5,77.83,43,96,11.5,AU,1619754152
Golden,39.7555,-105.2211,60.01,36,20,4.61,US,1619754153
Baní,18.2833,-70.3333,75.99,84,32,3.0,DO,1619754153
Esso,55.9333,158.7,40.93,90,48,0.29,RU,1619754153
Chicama,-7.8447,-79.1469,68.45,81,0,5.79,PE,1619754154
Harper,4.375,-7.7169,79.25,84,92,4.99,LR,1619754154
Biltine,14.5333,20.9167,79.52,9,24,6.91,TD,1619754155
Båtsfjord,70.6345,29.7185,28.4,80,75,11.5,NO,1619754155
Sukumo,32.9333,132.7333,71.37,55,7,11.27,JP,1619754155
Marystown,47.1666,-55.1483,36.21,91,16,6.08,CA,1619754156
Beaverlodge,55.2166,-119.4361,55.4,62,75,6.91,CA,1619754156
Mossamedes,-15.1961,12.1522,73.56,77,87,3.58,AO,1619754156
Pļaviņas,56.6178,25.7255,41.68,96,100,10.16,LV,1619754157
Linxia Chengguanzhen,35.6003,103.2064,68.59,18,0,4.27,CN,1619754157
Nicholasville,37.8806,-84.573,57.0,88,1,8.05,US,1619754128
Oranjestad,12.524,-70.027,80.6,78,20,12.66,AW,1619754034
Malé,4.1748,73.5089,87.8,70,20,5.75,MV,1619753958
Ukiah,39.1502,-123.2078,71.6,15,1,10.36,US,1619754158
Ise,34.4833,136.7,71.01,48,2,4.0,JP,1619754158
Shaunavon,49.6501,-108.4181,59.0,44,100,5.75,CA,1619754158
Moa,20.6569,-74.9403,76.44,81,39,13.24,CU,1619754159
Teacapan,22.55,-105.75,71.83,67,0,7.47,MX,1619754159
San Patricio,28.017,-97.5169,75.99,88,90,11.5,US,1619754159
Preobrazheniye,42.9019,133.9064,48.96,57,100,11.9,RU,1619754160
Chotila,22.4167,71.1833,82.4,74,20,6.91,IN,1619754160
Diu,20.7141,70.9822,89.82,40,99,4.88,IN,1619754160
San Jose,37.3394,-121.895,64.99,59,75,9.22,US,1619753880
Geraldton,-28.7667,114.6,71.6,49,90,17.27,AU,1619754161
Paamiut,61.994,-49.6678,36.3,84,6,3.15,GL,1619754161
Berlevåg,70.8578,29.0864,28.4,59,75,21.85,NO,1619754161
Tilichiki,60.4667,166.1,33.15,99,100,1.9,RU,1619754162
Tuatapere,-46.1333,167.6833,54.0,75,61,13.0,NZ,1619754162
Sabha,27.0377,14.4283,78.17,7,5,9.33,LY,1619754162
Puerto Baquerizo Moreno,-0.9,-89.6,74.73,85,18,10.51,EC,1619754163
Grand Gaube,-20.0064,57.6608,77.0,86,19,5.99,MU,1619754163
Flinders,-34.5833,150.8552,73.99,62,7,4.0,AU,1619754163
Lieksa,63.3167,30.0167,29.98,79,97,6.71,FI,1619754164
Hwange,-18.3693,26.5019,64.96,74,7,1.28,ZW,1619754164
Tromsø,69.6496,18.957,27.0,80,90,6.91,NO,1619754164
